School/Location,October 2022,October 2022,September 2022,September 2022,August 2022,August 2022,July 2022,July 2022
School/Location,Students,Staff,Students,Staff,Students,Staff,Students,Staff
Alma Preschool,1,0.0,0,0.0,0,0.0,0,0.0
Castro Valley Elementary School,2,0.0,4,4.0,3,0.0,0,1.0
Chabot Elementary School,1,2.0,7,0.0,12,0.0,0,0.0
Independent Elementary School,7,0.0,6,0.0,11,3.0,0,0.0
Jensen Ranch Elementary School,2,0.0,1,0.0,4,0.0,0,0.0
Marshall Elementary School,4,1.0,4,1.0,10,1.0,0,0.0
Palomares Elementary School,0,0.0,0,0.0,1,0.0,0,0.0
Proctor Elementary School,11,1.0,11,1.0,6,1.0,0,1.0
Stanton Elementary School,2,1.0,1,0.0,13,2.0,0,0.0
Vannoy Elementary School,0,0.0,1,0.0,14,1.0,0,0.0
Canyon Middle School,8,0.0,9,1.0,14,3.0,0,1.0
Creekside Middle School,10,0.0,3,0.0,20,2.0,0,0.0
Castro Valley High School,38,5.0,40,2.0,39,6.0,2,2.0
Redwood High School / Roy A. Johnson,0,0.0,1,0.0,0,1.0,0,0.0
Castro Valley Adult & Career Education,0,0.0,0,0.0,1,0.0,0,2.0
"District Departments(i.e. District Office, MOT, CN, etc.)",-,0.0,-,1.0,-,1.0,-,1.0
DISTRICT TOTAL:,86,10.0,88,10.0,148,21.0,2,8.0
"Updated October 20, 2022",,,,,,,,
,,,,,,,,
