School/Location,January 2022,January 2022,December 2021,December 2021,November 2021,November 2021,October 2021,October 2021,September 2021,September 2021,August 2021,August 2021,July 2021,July 2021
School/Location,Students,Staff,Students,Staff,Students,Staff,Students,Staff,Students,Staff,Students,Staff,Students,Staff
Alma Preschool,1,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Castro Valley Elementary School,18,1.0,1.0,0.0,2,0.0,2,0.0,2,0.0,5,0.0,0,0.0
Chabot Elementary School,8,2.0,2.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0
Independent Elementary School,25,2.0,2.0,0.0,1,0.0,2,0.0,0,0.0,0,0.0,0,0.0
Jensen Ranch Elementary School,11,1.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0
Marshall Elementary School,11,3.0,0.0,0.0,3,0.0,6,0.0,3,0.0,1,1.0,0,0.0
Palomares Elementary School,1,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0
Proctor Elementary School,7,3.0,0.0,0.0,0,0.0,0,0.0,2,0.0,3,0.0,0,0.0
Stanton Elementary School,9,3.0,0.0,0.0,0,0.0,1,0.0,3,0.0,4,0.0,0,0.0
Vannoy Elementary School,5,3.0,3.0,0.0,1,0.0,0,0.0,0,0.0,4,0.0,0,0.0
Canyon Middle School,42,6.0,2.0,0.0,4,0.0,0,1.0,4,0.0,4,2.0,0,1.0
Creekside Middle School,27,7.0,1.0,0.0,2,1.0,0,1.0,2,0.0,1,0.0,0,0.0
Castro Valley High School,71,4.0,6.0,0.0,5,1.0,1,4.0,3,2.0,7,1.0,1,0.0
Redwood High School / Roy A. Johnson,7,1.0,0.0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0
Castro Valley Adult & Career Education,2,1.0,0.0,0.0,0,0.0,0,0.0,4,0.0,0,0.0,0,0.0
"District Departments(i.e. District Office, MOT, CN, etc.)",-,3.0,0.0,0.0,-,0.0,-,1.0,-,0.0,-,1.0,-,0.0
DISTRICT TOTAL:,245,40.0,17.0,0.0,19,2.0,12,7.0,24,2.0,32,5.0,1,1.0
"Updated January 14, 2022",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
